Geography,Total; Estimate; Total population,Native; Estimate; Total population,Foreign born; Estimate; Total population,Foreign born; Naturalized citizen; Estimate; Total population,Foreign born; Not a U.S. citizen; Estimate; Total population,Total; Estimate; SEX AND AGE - Male,Native; Estimate; SEX AND AGE - Male,Foreign born; Estimate; SEX AND AGE - Male,Foreign born; Naturalized citizen; Estimate; SEX AND AGE - Male,Foreign born; Not a U.S. citizen; Estimate; SEX AND AGE - Male,Total; Estimate; SEX AND AGE - Female,Native; Estimate; SEX AND AGE - Female,Foreign born; Estimate; SEX AND AGE - Female,Foreign born; Naturalized citizen; Estimate; SEX AND AGE - Female,Foreign born; Not a U.S. citizen; Estimate; SEX AND AGE - Female,Total; Estimate; Under 5 years,Native; Estimate; Under 5 years,Foreign born; Estimate; Under 5 years,Foreign born; Naturalized citizen; Estimate; Under 5 years,Foreign born; Not a U.S. citizen; Estimate; Under 5 years,Total; Estimate; 5 to 17 years,Native; Estimate; 5 to 17 years,Foreign born; Estimate; 5 to 17 years,Foreign born; Naturalized citizen; Estimate; 5 to 17 years,Foreign born; Not a U.S. citizen; Estimate; 5 to 17 years,Total; Estimate; 18 to 24 years,Native; Estimate; 18 to 24 years,Foreign born; Estimate; 18 to 24 years,Foreign born; Naturalized citizen; Estimate; 18 to 24 years,Foreign born; Not a U.S. citizen; Estimate; 18 to 24 years,Total; Estimate; 25 to 44 years,Native; Estimate; 25 to 44 years,Foreign born; Estimate; 25 to 44 years,Foreign born; Naturalized citizen; Estimate; 25 to 44 years,Foreign born; Not a U.S. citizen; Estimate; 25 to 44 years,Total; Estimate; 45 to 54 years,Native; Estimate; 45 to 54 years,Foreign born; Estimate; 45 to 54 years,Foreign born; Naturalized citizen; Estimate; 45 to 54 years,Foreign born; Not a U.S. citizen; Estimate; 45 to 54 years,Total; Estimate; 55 to 64 years,Native; Estimate; 55 to 64 years,Foreign born; Estimate; 55 to 64 years,Foreign born; Naturalized citizen; Estimate; 55 to 64 years,Foreign born; Not a U.S. citizen; Estimate; 55 to 64 years,Total; Estimate; 65 to 74 years,Native; Estimate; 65 to 74 years,Foreign born; Estimate; 65 to 74 years,Foreign born; Naturalized citizen; Estimate; 65 to 74 years,Foreign born; Not a U.S. citizen; Estimate; 65 to 74 years,Total; Estimate; 75 to 84 years,Native; Estimate; 75 to 84 years,Foreign born; Estimate; 75 to 84 years,Foreign born; Naturalized citizen; Estimate; 75 to 84 years,Foreign born; Not a U.S. citizen; Estimate; 75 to 84 years,Total; Estimate; 85 years and over,Native; Estimate; 85 years and over,Foreign born; Estimate; 85 years and over,Foreign born; Naturalized citizen; Estimate; 85 years and over,Foreign born; Not a U.S. citizen; Estimate; 85 years and over,Total; Estimate; Median age (years),Native; Estimate; Median age (years),Foreign born; Estimate; Median age (years),Foreign born; Naturalized citizen; Estimate; Median age (years),Foreign born; Not a U.S. citizen; Estimate; Median age (years),Total; Estimate; EMPLOYMENT STATUS - Population 16 years and over,Native; Estimate; EMPLOYMENT STATUS - Population 16 years and over,Foreign born; Estimate; EMPLOYMENT STATUS - Population 16 years and over,Foreign born; Naturalized citizen; Estimate; EMPLOYMENT STATUS - Population 16 years and over,Foreign born; Not a U.S. citizen; Estimate; EMPLOYMENT STATUS - Population 16 years and over,Total; Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force,Native; Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force,Foreign born; Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force,Foreign born; Naturalized citizen; Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force,Foreign born; Not a U.S. citizen; Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force,Total; Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force,Native; Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force,Foreign born; Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force,Foreign born; Naturalized citizen; Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force,Foreign born; Not a U.S. citizen; Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force,Total; Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Employed,Native; Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Employed,Foreign born; Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Employed,Foreign born; Naturalized citizen; Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Employed,Foreign born; Not a U.S. citizen; Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Employed,Total; Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Unemployed,Native; Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Unemployed,Foreign born; Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Unemployed,Foreign born; Naturalized citizen; Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Unemployed,Foreign born; Not a U.S. citizen; Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Unemployed,Total; Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Unemployed - Percent of civilian labor force,Native; Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Unemployed - Percent of civilian labor force,Foreign born; Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Unemployed - Percent of civilian labor force,Foreign born; Naturalized citizen; Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Unemployed - Percent of civilian labor force,Foreign born; Not a U.S. citizen; Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Unemployed - Percent of civilian labor force,Total; Estimate; EMPLOYMENT STATUS - Population 16 years and over - Not in labor force,Native; Estimate; EMPLOYMENT STATUS - Population 16 years and over - Not in labor force,Foreign born; Estimate; EMPLOYMENT STATUS - Population 16 years and over - Not in labor force,Foreign born; Naturalized citizen; Estimate; EMPLOYMENT STATUS - Population 16 years and over - Not in labor force,Foreign born; Not a U.S. citizen; Estimate; EMPLOYMENT STATUS - Population 16 years and over - Not in labor force,Total; Estimate; Civilian employed population 16 years and over,Native; Estimate; Civilian employed population 16 years and over,Foreign born; Estimate; Civilian employed population 16 years and over,Foreign born; Naturalized citizen; Estimate; Civilian employed population 16 years and over,Foreign born; Not a U.S. citizen; Estimate; Civilian employed population 16 years and over
Alabama,4841164,4675660,165504,58841,106663,48.5,48.4,51.2,46.4,53.9,51.5,51.6,48.8,53.6,46.1,6,6.2,0.9,0.7,1,16.8,17.1,7.9,6.7,8.6,9.8,9.8,9.8,5,12.4,25.5,24.7,47,30.6,56.1,13.6,13.5,15.3,20.5,12.4,13,13.1,9.5,16.7,5.5,9,9.1,5.9,11.6,2.7,4.7,4.7,2.9,6.2,1.1,1.7,1.7,0.9,2,0.3,38.6,38.6,37.7,48.8,34.6,3864302,3710380,153922,55327,98595,57.9,57.6,66.5,64.3,67.8,57.6,57.3,66.3,63.8,67.7,52.8,52.4,62.6,60.3,63.9,4.8,4.8,3.7,3.5,3.8,8.3,8.4,5.5,5.5,5.6,42.1,42.4,33.5,35.7,32.2,2042025,1945619,96406,33379,63027
Alaska,736855,681608,55247,31138,24109,52.3,52.7,47,46.7,47.5,47.7,47.3,53,53.3,52.5,7.4,7.9,0.7,0.7,0.6,18.1,18.9,7.5,5.2,10.5,10.7,10.9,7.8,5.7,10.5,28.2,27.6,35.7,33.5,38.6,13.5,13,19.7,21,17.9,12.8,12.5,15.9,17.1,14.3,6.3,6.2,8,10.5,4.8,2.3,2.2,3.5,4.6,2,0.8,0.8,1.3,1.7,0.7,33.6,32.6,44.2,47.6,39.4,568732,517001,51731,29671,22060,70.4,70.1,73.8,74.4,73,67.5,67.1,72.3,71.8,72.9,62.2,61.6,69,68.6,69.4,5.3,5.5,3.3,3.1,3.5,7.8,8.2,4.6,4.4,4.8,29.6,29.9,26.2,25.6,27,353954,318281,35673,20367,15306
Arizona,6728577,5827029,901548,365345,536203,49.7,49.9,48.3,45.3,50.3,50.3,50.1,51.7,54.7,49.7,6.5,7.4,0.6,0.3,0.8,17.6,19.5,5.2,2.8,6.8,9.9,10.3,7.8,4.5,10.1,25.8,23.6,39.8,29.4,46.8,12.5,11.5,18.7,21.8,16.7,11.8,11.6,13.1,18.4,9.5,9.2,9.3,8.8,12.8,6.1,4.8,4.9,4.5,7.5,2.5,1.8,1.9,1.5,2.6,0.7,37.1,35.1,43.4,50.9,39,5290839,4429691,861148,356939,504209,59.5,59.2,60.8,62.8,59.4,59.1,58.9,60.7,62.5,59.4,54.4,54,56.5,59,54.8,4.7,4.8,4.2,3.5,4.6,8,8.2,6.9,5.7,7.8,40.5,40.8,39.2,37.2,40.6,2879372,2392791,486581,210516,276065
Arkansas,2968472,2829438,139034,44575,94459,49.1,49,51.1,48.5,52.3,50.9,51,48.9,51.5,47.7,6.4,6.7,0.8,0.2,1.1,17.4,17.9,7.1,5.3,8,9.7,9.7,9.9,5,12.1,25.3,24.2,49.5,35.3,56.2,13,12.9,15.7,21.1,13.1,12.5,12.6,9.4,16.8,6,9.1,9.3,5.2,10.2,2.8,4.7,4.9,1.9,4.4,0.7,1.8,1.9,0.6,1.6,0.1,37.7,37.8,37.6,47.1,34.5,2339307,2208886,130421,42592,87829,58.3,57.7,68.7,68.8,68.6,58.1,57.5,68.6,68.7,68.6,54.1,53.5,65.7,65.8,65.7,4,4,2.9,2.9,2.9,6.9,7,4.2,4.2,4.2,41.7,42.3,31.3,31.2,31.4,1266552,1180834,85718,28017,57701
California,38654206,28216576,10437630,5139275,5298355,49.7,50.2,48.4,46,50.6,50.3,49.8,51.6,54,49.4,6.5,8.7,0.5,0.2,0.7,17.2,22.1,4,1.7,6.2,10.2,11.9,5.8,3,8.6,28.1,24.3,38.2,28.3,47.9,13.5,10.8,20.6,23.1,18.2,11.6,10.3,15.2,20.3,10.3,7.3,6.7,9,13.1,5,3.8,3.5,4.8,7.4,2.3,1.8,1.7,1.8,2.9,0.8,36,29.8,45.6,52.3,39.5,30565746,20481969,10083777,5066742,5017035,63.4,62.7,64.9,63.8,65.9,63,62.1,64.8,63.7,65.9,57.5,56.2,60.1,59.9,60.2,5.5,5.9,4.7,3.7,5.7,8.7,9.5,7.3,5.9,8.7,36.6,37.3,35.1,36.2,34.1,17577142,11519296,6057846,3036569,3021277
Colorado,5359295,4834851,524444,206682,317762,50.2,50.3,49.1,45,51.7,49.8,49.7,50.9,55,48.3,6.3,6.9,0.8,0.2,1.1,17,18.1,6.8,4.9,8,9.8,9.9,8.5,4.9,10.8,28.4,26.7,44.6,34,51.5,13.4,12.9,18.1,21.5,15.9,12.5,12.7,10.7,15.7,7.5,7.6,7.8,6.2,10.2,3.5,3.6,3.6,3.5,6.5,1.5,1.5,1.5,1,2.1,0.3,36.4,35.6,40.5,47.6,36.7,4245559,3751704,493855,198303,295552,68.2,68.1,69,68.5,69.4,67.5,67.3,68.7,67.8,69.3,63.4,63.2,65.2,64.7,65.5,4,4.1,3.5,3.1,3.8,6,6.1,5.1,4.6,5.4,31.8,31.9,31,31.5,30.6,2692529,2370623,321906,128266,193640
Connecticut,3588570,3085361,503209,248580,254629,48.8,48.8,48.7,45,52.3,51.2,51.2,51.3,55,47.7,5.3,6,0.7,0.2,1.3,16.3,18,5.6,3.6,7.6,9.7,10.1,7.5,4.3,10.7,24.5,22.3,38,28.1,47.8,15.2,14.7,18.5,21.3,15.8,13.6,13.5,14,18.9,9.2,8.5,8.4,8.6,12.8,4.6,4.5,4.5,4.9,7.5,2.3,2.5,2.5,2.1,3.4,0.7,40.6,39.5,44,51.6,37.1,2911925,2433664,478261,241897,236364,67.2,66.7,69.9,67.9,72,66.9,66.3,69.8,67.8,72,61.6,61,64.6,63.6,65.7,5.3,5.3,5.2,4.1,6.3,8,8.1,7.4,6.1,8.7,32.8,33.3,30.1,32.1,28,1793688,1484501,309187,153895,155292
Delaware,934695,852145,82550,38571,43979,48.4,48.3,49.8,47.1,52.1,51.6,51.7,50.2,52.9,47.9,5.9,6.5,0.7,0.3,1.1,15.9,16.9,5.1,4.1,6,9.6,9.7,8.4,6.1,10.4,24.9,23,45.2,30.8,57.8,13.9,13.7,16.3,20.6,12.5,13.3,13.5,10.6,15.6,6.3,9.7,9.9,8.2,13.6,3.5,4.8,4.9,4,6.5,1.9,1.9,2,1.4,2.4,0.6,39.6,39.4,40.5,49.6,34.8,753039,674398,78641,37215,41426,63.1,62.4,68.9,67,70.6,62.7,62,68.8,66.8,70.5,58.2,57.4,65.1,63.5,66.5,4.5,4.6,3.6,3.2,4,7.1,7.4,5.3,4.8,5.7,36.9,37.6,31.1,33,29.4,438292,387078,51214,23649,27565
District of Columbia,659009,566496,92513,38531,53982,47.4,47.2,48.7,45.1,51.3,52.6,52.8,51.3,54.9,48.7,6.4,7.2,1.1,0.3,1.6,11,12.1,4.5,3.3,5.3,12.3,12.8,9.8,6.9,11.9,36.7,35,47,38.7,52.9,11.7,11,15.9,17.3,14.8,10.5,10.4,11.2,13.9,9.2,6.5,6.5,6.5,11.3,3,3.3,3.4,3,5.8,0.9,1.6,1.7,1.1,2.3,0.3,33.8,32.6,39,45.4,35.8,554780,466507,88273,37450,50823,69.4,68.5,74.5,73,75.6,68.8,67.7,74.3,72.6,75.5,62.8,61.4,70.2,68.6,71.3,6,6.4,4.1,4,4.2,8.7,9.4,5.5,5.6,5.5,30.6,31.5,25.5,27,24.4,348225,286298,61927,25681,36246
Florida,19934451,15966780,3967671,2134726,1832945,48.9,49.3,47.1,44.2,50.5,51.1,50.7,52.9,55.8,49.5,5.5,6.7,0.5,0.2,0.9,14.9,17.4,4.9,2.3,7.8,8.9,9.5,6.4,4,9.2,24.9,22.8,33.5,26.6,41.6,13.8,12.4,19.3,20.7,17.7,13,12.4,15.1,18.1,11.5,10.5,10.3,11.2,14.6,7.1,6,5.9,6.5,9.4,3,2.6,2.6,2.6,4,1,41.6,39,47.4,53.2,40.4,16339299,12535049,3804250,2097506,1706744,58.8,57.5,63.3,61.3,65.7,58.5,57.1,63.2,61.2,65.7,53.6,52.1,58.4,57.4,59.7,4.9,5,4.8,3.8,6,8.4,8.7,7.5,6.2,9.1,41.2,42.5,36.7,38.7,34.3,8755427,6532325,2223102,1203924,1019178
